Campaign,Labels,Budget,Budget type,Campaign Type,Networks,Languages,Bid Strategy Type,Bid Strategy Name,Target CPA,Desktop Bid Modifier,Mobile Bid Modifier,Tablet Bid Modifier,TV Screen Bid Modifier,Start Date,End Date,Ad Schedule,Ad rotation,Targeting method,Exclusion method,Flexible Reach,Ad Group,Max CPC,Max CPM,Max CPV,Percent CPC,Target CPM,Target ROAS,Top Content Bid Modifier,Display Network Custom Bid Type,Targeting expansion,Ad Group Type,Audience targeting,Audience grouped,Tracking template,Final URL suffix,Custom parameters,ID,Location,Reach,Feed,Radius,Unit,Bid Modifier,Criterion Type,Keyword,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Link Text,Description Line 1,Description Line 2,Upgraded extension,Header,Snippet Values,Callout text,Phone Number,Country of Phone,Conversion Action,Campaign Status,Ad Group Status,Status,Approval Status,Comment
AP | Tree Surgery Template,,15,Daily,Search,Google search,en,Maximize conversions,,0,-10,20,10,,[],[],(Monday[08:00-22:00]);(Tuesday[08:00-22:00]);(Wednesday[08:00-22:00]);(Thursday[08:00-22:00]);(Friday[08:00-22:00]);(Saturday[08:00-22:00]);(Sunday[08:00-22:00]),Optimize for clicks,Location of presence,Location of presence,Audiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge trimming,0,0,0,2,Below average,Below average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting services,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge cutting service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge removal near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge trimming near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,bush trimming service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge trimming service near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,shrub trimming service near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge cutting near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge trimming,0,0,0,2,Below average,Below average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge removal,0,0,0,2,Below average,Below average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge trimming service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge trimming service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge trimming service near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial hedge trimming,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial hedge trimming service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge trimming near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,bush trimming near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting service near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial hedge trimming service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,shrub trimming near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge trimming services near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge cutting service near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,hedge cutting services near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial hedge cutting,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial hedge cutting service,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
